Offset: 0x3880, Avg Latency: 114 ns
Offset: 0x38c0, Avg Latency: 103 ns
Offset: 0x3900, Avg Latency: 119 ns
Offset: 0x3940, Avg Latency: 111 ns
Offset: 0x3980, Avg Latency: 103 ns
Offset: 0x39c0, Avg Latency: 122 ns
Offset: 0x3a00, Avg Latency: 246 ns
Offset: 0x3a40, Avg Latency: 133 ns
Offset: 0x3a80, Avg Latency: 105 ns
Offset: 0x3ac0, Avg Latency: 125 ns
Offset: 0x3b00, Avg Latency: 101 ns
Offset: 0x3b40, Avg Latency: 102 ns
Offset: 0x3b80, Avg Latency: 121 ns
Offset: 0x3bc0, Avg Latency: 90 ns
Offset: 0x3c00, Avg Latency: 89 ns
Offset: 0x3c40, Avg Latency: 90 ns
Offset: 0x3c80, Avg Latency: 125 ns
Offset: 0x3cc0, Avg Latency: 90 ns
Offset: 0x3d00, Avg Latency: 90 ns
Offset: 0x3d40, Avg Latency: 90 ns
Offset: 0x3d80, Avg Latency: 90 ns
Offset: 0x3dc0, Avg Latency: 116 ns
Offset: 0x3e00, Avg Latency: 90 ns
Offset: 0x3e40, Avg Latency: 90 ns
Offset: 0x3e80, Avg Latency: 89 ns
Offset: 0x3ec0, Avg Latency: 128 ns
Offset: 0x3f00, Avg Latency: 106 ns
Offset: 0x3f40, Avg Latency: 91 ns
Offset: 0x3f80, Avg Latency: 103 ns
Offset: 0x3fc0, Avg Latency: 108 ns
Offset: 0x4000, Avg Latency: 123 ns
Offset: 0x4040, Avg Latency: 88 ns
Offset: 0x4080, Avg Latency: 88 ns
Offset: 0x40c0, Avg Latency: 88 ns
Offset: 0x4100, Avg Latency: 88 ns
Offset: 0x4140, Avg Latency: 88 ns
Offset: 0x4180, Avg Latency: 89 ns
Offset: 0x41c0, Avg Latency: 89 ns
Offset: 0x4200, Avg Latency: 88 ns
Offset: 0x4240, Avg Latency: 130 ns
Offset: 0x4280, Avg Latency: 114 ns
Offset: 0x42c0, Avg Latency: 88 ns
Offset: 0x4300, Avg Latency: 88 ns
Offset: 0x4340, Avg Latency: 87 ns
Offset: 0x4380, Avg Latency: 161 ns
Offset: 0x43c0, Avg Latency: 89 ns
Offset: 0x4400, Avg Latency: 88 ns
Offset: 0x4440, Avg Latency: 88 ns
Offset: 0x4480, Avg Latency: 89 ns
Offset: 0x44c0, Avg Latency: 88 ns
Offset: 0x4500, Avg Latency: 155 ns
Offset: 0x4540, Avg Latency: 88 ns
Offset: 0x4580, Avg Latency: 89 ns
Offset: 0x45c0, Avg Latency: 88 ns
Offset: 0x4600, Avg Latency: 116 ns
Offset: 0x4640, Avg Latency: 88 ns
Offset: 0x4680, Avg Latency: 89 ns
Offset: 0x46c0, Avg Latency: 89 ns
Offset: 0x4700, Avg Latency: 87 ns
Offset: 0x4740, Avg Latency: 179 ns
Offset: 0x4780, Avg Latency: 90 ns
Offset: 0x47c0, Avg Latency: 88 ns
Offset: 0x4800, Avg Latency: 93 ns
Offset: 0x4840, Avg Latency: 89 ns
Offset: 0x4880, Avg Latency: 91 ns
Offset: 0x48c0, Avg Latency: 138 ns
Offset: 0x4900, Avg Latency: 88 ns
Offset: 0x4940, Avg Latency: 135 ns
Offset: 0x4980, Avg Latency: 89 ns
Offset: 0x49c0, Avg Latency: 89 ns
Offset: 0x4a00, Avg Latency: 88 ns
Offset: 0x4a40, Avg Latency: 88 ns
Offset: 0x4a80, Avg Latency: 87 ns
Offset: 0x4ac0, Avg Latency: 115 ns
Offset: 0x4b00, Avg Latency: 88 ns
Offset: 0x4b40, Avg Latency: 116 ns
Offset: 0x4b80, Avg Latency: 89 ns
Offset: 0x4bc0, Avg Latency: 180 ns
Offset: 0x4c00, Avg Latency: 89 ns
Offset: 0x4c40, Avg Latency: 95 ns
Offset: 0x4c80, Avg Latency: 102 ns
Offset: 0x4cc0, Avg Latency: 100 ns
Offset: 0x4d00, Avg Latency: 107 ns
Offset: 0x4d40, Avg Latency: 102 ns
Offset: 0x4d80, Avg Latency: 112 ns
Offset: 0x4dc0, Avg Latency: 101 ns
Offset: 0x4e00, Avg Latency: 101 ns
Offset: 0x4e40, Avg Latency: 100 ns
Offset: 0x4e80, Avg Latency: 100 ns
Offset: 0x4ec0, Avg Latency: 100 ns
Offset: 0x4f00, Avg Latency: 94 ns
Offset: 0x4f40, Avg Latency: 101 ns
Offset: 0x4f80, Avg Latency: 110 ns
Offset: 0x4fc0, Avg Latency: 110 ns
Offset: 0x5000, Avg Latency: 133 ns
Offset: 0x5040, Avg Latency: 101 ns
Offset: 0x5080, Avg Latency: 102 ns
Offset: 0x50c0, Avg Latency: 101 ns
Offset: 0x5100, Avg Latency: 101 ns
Offset: 0x5140, Avg Latency: 125 ns
Offset: 0x5180, Avg Latency: 130 ns
Offset: 0x51c0, Avg Latency: 101 ns
Offset: 0x5200, Avg Latency: 102 ns
Offset: 0x5240, Avg Latency: 100 ns
Offset: 0x5280, Avg Latency: 121 ns
Offset: 0x52c0, Avg Latency: 101 ns
Offset: 0x5300, Avg Latency: 100 ns
Offset: 0x5340, Avg Latency: 101 ns
Offset: 0x5380, Avg Latency: 232 ns
Offset: 0x53c0, Avg Latency: 87 ns
Offset: 0x5400, Avg Latency: 133 ns
Offset: 0x5440, Avg Latency: 101 ns
Offset: 0x5480, Avg Latency: 101 ns
Offset: 0x54c0, Avg Latency: 181 ns
Offset: 0x5500, Avg Latency: 118 ns
Offset: 0x5540, Avg Latency: 100 ns
Offset: 0x5580, Avg Latency: 113 ns
Offset: 0x55c0, Avg Latency: 108 ns
Offset: 0x5600, Avg Latency: 123 ns
Offset: 0x5640, Avg Latency: 100 ns
Offset: 0x5680, Avg Latency: 102 ns
Offset: 0x56c0, Avg Latency: 134 ns
Offset: 0x5700, Avg Latency: 103 ns
Offset: 0x5740, Avg Latency: 117 ns
Offset: 0x5780, Avg Latency: 100 ns
Offset: 0x57c0, Avg Latency: 102 ns
Offset: 0x5800, Avg Latency: 230 ns
